tu_khoa,phan_loai,noi_dung
_,vi,20260423
sachCuaT,vi,Sách của T
luuChieu,vi,Lưu chiểu
dkxb,vi,Đăng ký xuất bản
daDocXong,vi,Đã đọc xong
tenSach,vi,Tên sách
dong,vi,Đóng
khongCoKetQua,vi,Không có kết quả
khongCoMayAnh,vi,Máy ảnh không khả dụng hoặc không có quyền truy cập
thongTinSach,vi,Thông tin sách
hdsdAnh,vi,Nhấn 1 lần để chụp ảnh. Nhấn 2 lần để xoá.
sachMoi,vi,Sách mới
traCuuLuuChieu,vi,Tra cứu lưu chiểu
traCuuDKXB,vi,Tra cứu Đăng ký xuất bản
isbn,vi,ISBN
tacGia,vi,Tác giả
dichGia,vi,Dịch giả
viTri,vi,Vị trí
dvPhatHanh,vi,Đơn vị phát hành
thongTinSachCoBan,vi,Thông tin sách cơ bản
giaiThichThongTinCoBan,vi,"Các thông tin sau có thể gồm nhiều mục, các mục cùng loại thông tin không được lặp lại. Có thể nhập các mục chung 1 dòng và phân cách bằng ';' (app tự động phân chia khi nhập xong)."
giaiThichViTri,vi,Mỗi vị trí tương ứng với 1 quyển sách vật lý (1 cuốn sách có thể có nhiều quyển để cùng 1 chỗ - vị trí có thể lặp lại). Có thể nhập các mục chung 1 dòng và phân cách bằng ';' (app tự động phân chia khi nhập xong).
tieuDeSachNhieuTap,vi,Bộ sách
giaiThichSachNhieuTap,vi,"Chọn 1 sách khác để nhập vào làm cùng 1 bộ. Có thể nhập tên bộ sách chung, nhập số tập để xếp theo thứ tự."
tieuDeNhan,vi,Nhãn sách
giaiThichNhan,vi,Dán nhãn cho sách theo tên nhãn và giá trị nhãn.
tieuDeDanhDau,vi,Đánh dấu
giaiThichDanhDau,vi,"Nhập nội dung đánh dấu, ví dụ số trang cần ghi nhớ."
danhDau,vi,Đánh dấu
loiKhongLuuSach,vi,Không lưu được vì thiếu các thông tin bắt buộc.
loiXemLaiTruocKhiLuuSach,vi,"Thiếu một số thông tin quan trọng, tiếp tục?"
cuLuu,vi,Cứ lưu
thieuThongTin,vi,Thiếu thông tin
tenSachDaTonTai,vi,Tên sách đã tồn tại
sachKhongTonTai,vi,Sách không tồn tại
luu,vi,Lưu
xacNhanLuu,vi,"Thông tin có thay đổi, có lưu lại không?"
chonSachLapChuoi,vi,Chọn sách để gộp vào bộ sách
roiChuoi,vi,Rời khỏi bộ sách
ghiChuChuoi,vi,Tên bộ sách
tapConThieu,vi,Tập còn thiếu
luonHienThi,vi,Luôn hiển thị
tapSo,vi,Tập số
hienThiDSTapDayDu,vi,Hiển thị đầy đủ #_ tập
timKiem,vi,Tìm kiếm
soLuongKetQua,vi,Số lượng kết quả: #_
thongKe,vi,Thống kê
tenNhan,vi,Tên nhãn
giaTriNhan,vi,Giá trị nhãn
locTacGia,vi,Tác giả: #_
locDichGia,vi,Dịch giả: #_
locNxb,vi,Phát hành: #_
locViTri,vi,Vị trí: #_
locTenNhan,vi,Nhãn `#_` có giá trị
locGiaTriNhan,vi,Nhãn `#_`=`#_`
locNhieuTap,vi,Bộ sách: #_
xoaSach,vi,Xoá sách
xacNhanXoa,vi,Xoá sách này?
chuaCoSach,vi,Chưa có sách nào
huongDan,vi,Hướng dẫn
gioiThieu,vi,Giới thiệu
ganDay,vi,Gần đây
